date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:13:29	112/112	---M-Z	200	added ('OK')	text/plain	date:Tue,%2009%20May%202023%2009:43:28%20GMT	https://sleddingtech.com/robots.txt		(from )
15:13:30	149747/149747	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20May%202023%2009:43:28%20GMT	https://sleddingtech.com/	/storage/emulated/0/HTTrack/Websites/sledding%20pvt%20ltd/sleddingtech.com/index.html	(from )
15:13:30	97517/97517	---M-Z	200	added ('OK')	text/css	date:Thu,%2030%20Mar%202023%2012:32:44%20GMT	https://sleddingtech.com/wp-includes/css/dist/block-library/style.min.css?ver=6.2	/storage/emulated/0/HTTrack/Websites/sledding%20pvt%20ltd/sleddingtech.com/wp-includes/css/dist/block-library/style.minae48.css	(from https://sleddingtech.com/)
15:13:32	7048/7048	---M-Z	200	added ('OK')	application/rss+xml	etag:%2242f2d6c1433e2fe2c330d9784b867a15%22	https://sleddingtech.com/comments/feed/	/storage/emulated/0/HTTrack/Websites/sledding%20pvt%20ltd/sleddingtech.com/comments/feed/index.html	(from https://sleddingtech.com/)
15:13:32	38897/38897	---MCZ	200	added ('OK')	application/rss+xml	etag:%2242f2d6c1433e2fe2c330d9784b867a15%22	https://sleddingtech.com/feed/	/storage/emulated/0/HTTrack/Websites/sledding%20pvt%20ltd/sleddingtech.com/feed/index.html	(from https://sleddingtech.com/)
15:13:33	291/291	---M-Z	200	added ('OK')	text/css	date:Thu,%2030%20Mar%202023%2012:32:45%20GMT	https://sleddingtech.com/wp-includes/css/classic-themes.min.css?ver=6.2	/storage/emulated/0/HTTrack/Websites/sledding%20pvt%20ltd/sleddingtech.com/wp-includes/css/classic-themes.minae48.css	(from https://sleddingtech.com/)
15:13:34	2803/2803	---M-Z	200	added ('OK')	text/css	date:Thu,%2002%20Feb%202023%2014:34:04%20GMT	https://sleddingtech.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.7.3	/storage/emulated/0/HTTrack/Websites/sledding%20pvt%20ltd/sleddingtech.com/wp-content/plugins/contact-form-7/includes/css/styles76f3.css	(from https://sleddingtech.com/)
15:13:35	152689/152689	---M-Z	200	added ('OK')	text/css	date:Wed,%2003%20Feb%202021%2014:20:51%20GMT	https://sleddingtech.com/wp-content/plugins/mega-addons-for-visual-composer/css/ihover.css?ver=6.2	/storage/emulated/0/HTTrack/Websites/sledding%20pvt%20ltd/sleddingtech.com/wp-content/plugins/mega-addons-for-visual-composer/css/ihoverae48.css	(from https://sleddingtech.com/)
15:13:36	253/253	---M-Z	200	added ('OK')	text/css	date:Wed,%2003%20Feb%202021%2014:20:51%20GMT	https://sleddingtech.com/wp-content/plugins/mega-addons-for-visual-composer/css/style.css?ver=6.2	/storage/emulated/0/HTTrack/Websites/sledding%20pvt%20ltd/sleddingtech.com/wp-content/plugins/mega-addons-for-visual-composer/css/styleae48.css	(from https://sleddingtech.com/)
15:13:37	70756/70756	---M-Z	200	added ('OK')	text/css	date:Wed,%2003%20Feb%202021%2014:20:53%20GMT	https://sleddingtech.com/wp-content/plugins/mega-addons-for-visual-composer/css/font-awesome/css/all.css?ver=6.2	/storage/emulated/0/HTTrack/Websites/sledding%20pvt%20ltd/sleddingtech.com/wp-content/plugins/mega-addons-for-visual-composer/css/font-awesome/css/allae48.css	(from https://sleddingtech.com/)
